Date,Spread,Recession
1982,0.80,1
1982.25,0.89,1
1982.5,3.44,1
1982.75,2.49,0
1983,2.16,0
1983.25,1.82,0
1983.5,2.11,0
1983.75,2.53,0
1984,2.41,0
1984.25,3.03,0
1984.5,2.13,0
1984.75,2.60,0
1985,3.12,0
1985.25,3.10,0
1985.5,3.00,0
1985.75,2.37,0
1986,1.45,0
1986.25,1.28,0
1986.5,1.62,0
1986.75,1.76,0
1987,1.50,0
1987.25,2.50,0
1987.5,2.63,0
1987.75,3.06,0
1988,2.51,0
1988.25,2.50,0
1988.5,1.86,0
1988.75,0.96,0
1989,0.36,0
1989.25,0.05,0
1989.5,-0.01,1
1989.75,0.00,1
1990,0.40,1
1990.25,0.66,1
1990.5,0.98,1
1990.75,1.19,1
1991,1.81,0
1991.25,2.39,0
1991.5,2.40,0
1991.75,2.67,0
1992,3.30,0
1992.25,3.61,0
1992.5,3.47,0
1992.75,3.60,0
1993,3.23,0
1993.25,2.95,0
1993.5,2.55,0
1993.75,2.48,0
1994,2.76,0
1994.25,2.98,0
1994.5,2.72,0
1994.75,2.39,0
1995,1.55,0
1995.25,0.83,0
1995.5,0.80,0
1995.75,0.48,0
1996,0.84,0
1996.25,1.56,0
1996.5,1.53,0
1996.75,1.24,0
1997,1.37,0
1997.25,1.51,0
1997.5,1.06,0
1997.75,0.68,0
1998,0.40,0
1998.25,0.48,0
1998.5,0.25,0
1998.75,0.30,0
1999,0.48,0
1999.25,0.96,0
1999.5,1.09,0
1999.75,0.94,0
2000,0.76,1
2000.25,0.29,1
2000.5,-0.31,1
2000.75,-0.63,1
2001,0.11,1
2001.25,1.54,1
2001.5,1.71,1
2001.75,2.81,0
2002,3.32,0
2002.25,3.36,0
2002.5,2.60,0
2002.75,2.64,0
2003,2.75,0
2003.25,2.56,0
2003.5,3.28,0
2003.75,3.35,0
2004,3.08,0
2004.25,3.50,0
2004.5,2.79,0
2004.75,2.13,0
2005,1.71,0
2005.25,1.23,0
2005.5,0.78,0
2005.75,0.57,0
2006,0.07,0
2006.25,0.24,0
2006.5,-0.14,0
2006.75,-0.40,1
2007,-0.44,1
2007.25,-0.03,1
2007.5,0.30,1
2007.75,0.78,1
2008,1.56,1
2008.25,2.23,1
2008.5,2.34,1
2008.75,2.92,1
2009,2.52,1
2009.25,3.15,0
2009.5,3.36,0
2009.75,3.40,0
2010,3.61,0
2010.25,3.34,0
2010.5,2.63,0
2010.75,2.74,0
2011,3.33,0
2011.25,3.16,0
2011.5,2.39,0
2011.75,2.03,0
2012,1.97,0
2012.25,1.74,0
2012.5,1.54,0
2012.75,1.62,0
2013,1.86,0
2013.25,1.93,0
2013.5,2.67,0
2013.75,2.68,0
2014,2.72,0
2014.25,2.59,0
2014.5,2.47,0
2014.75,2.25,0
2015,1.94,0
2015.25,2.15,0
2015.5,2.18,0
2015.75,2.07,0
2016,1.62,0
2016.25,1.49,0
2016.5,1.27,0
2016.75,1.71,0
2017,1.84,0
2017.25,1.35,0
2017.5,1.19,0
2017.75,1.14,0
2018,1.18,0
2018.25,1.05,0
2018.5,0.85,0
2018.75,0.68,0
2019,0.21,1
2019.25,-0.02,1
2019.5,-0.23,1
2019.75,0.18,1
2020,0.26,1
2020.25,0.55,0
2020.5,0.54,0
2020.75,0.77,0
2021,1.28,0
2021.25,1.57,0
2021.5,1.28,0
2021.75,1.48,0