Date,INT,INF,GAP,SYR,lagBYR
1990,7.899419384,4.313,0.1982717192,0.7562448693,36.15128452
1990.25,7.859209347,4.47748,-0.1323523413,0.7840063839,35.67183141
1990.5,7.531875656,3.43132,-0.7367358706,0.9975867465,35.19949906
1990.75,7.095786816,2.97688,-2.283658186,0.4960087318,36.709184
1991,6.084326359,3.91708,-3.36375646,1.360374126,37.78685913
1991.25,5.544177624,2.93852,-3.22168546,0.4373201159,39.75193441
1991.5,5.226711947,3.12456,-3.335904026,-0.1781519858,39.60755114
1991.75,4.317467967,2.37372,-3.600382277,-0.05539113806,40.39841204
1992,3.553149077,1.48684,-3.053700492,-0.6706634594,42.19942725
1992.25,3.324781016,2.40496,-2.61865442,-0.7265758304,42.7354457
1992.5,3.010615339,1.95536,-2.287548271,-0.9306432314,42.71520994
1992.75,2.896343246,2.75268,-1.908446751,-0.8719311137,43.963116
1993,2.870584341,2.24484,-2.387575928,-0.6803072877,43.80910498
1993.25,3.050100216,2.3788,-2.473082408,-0.1756514488,44.88325139
1993.5,3.068287283,2.37636,-2.665532299,-0.2929193975,45.74868419
1993.75,3.124500915,2.18284,-2.007526492,0.1237856333,46.07897185
1994,3.387175559,1.91188,-1.725247178,0.5508138959,46.28345114
1994.25,4.393807479,1.93144,-1.0663306,1.012856339,46.05199917
1994.5,4.840378715,2.29288,-1.164898155,0.7517314991,43.47081544
1994.75,6.118495479,2.17208,-0.7134910802,0.9253297793,43.13282841
1995,6.103063901,2.1716,-1.037442674,1.055702593,42.41418977
1995.25,5.799737991,1.91864,-1.417944987,1.344084426,42.56284224
1995.5,5.524704685,1.97092,-1.253764142,1.702002766,43.19088901
1995.75,5.41567552,1.92792,-1.267621768,1.697980569,44.19165379
1996,5.074879267,1.9242,-1.218840757,1.532979482,44.55917246
1996.25,5.201332088,1.65636,-0.3059748298,2.101124882,44.81431455
1996.5,5.319374851,1.30976,-0.1935082233,2.315195597,42.80677818
1996.75,5.211460834,2.13572,0.01504070451,2.85288781,42.53260936
1997,5.330607376,2.3852,-0.2072543814,2.941434269,42.68157071
1997.25,5.379112566,0.81016,0.5414067786,3.413498927,41.99862364
1997.5,5.425936724,1.7356,0.8489098552,3.48040125,40.4598052
1997.75,5.420428049,1.31488,0.7407457515,3.413394644,40.88736432
1998,5.378321983,0.5884,0.7539574534,3.981128926,40.62671438
1998.25,5.345880949,0.94008,0.671584645,4.176093311,40.58769658
1998.5,5.06971483,1.72124,0.9070801425,4.318625271,39.31012624
1998.75,4.720644723,1.09836,1.498258603,4.157062343,38.55238027
1999,4.778213165,1.28056,1.407574806,4.307859105,38.77128781
1999.25,4.804064447,1.5138,1.205981182,4.408048951,37.85402014
1999.5,5.097542564,1.42404,1.490939149,4.347055414,35.70465064
1999.75,5.576823566,2.20964,2.09073296,4.208008974,34.15224248
2000,5.92147993,2.65572,1.403664348,5.25961393,33.06307195
2000.25,6.415507168,2.49336,2.213327853,4.865745746,31.67909712
2000.5,6.439336491,2.34428,1.336220186,4.919440618,30.73854477
2000.75,6.357132172,2.17216,1.013814946,4.736260299,29.55855038
2001,4.699994939,2.623,-0.17651419,4.493644887,28.6812325
2001.25,3.442860303,2.41908,-0.3670734311,3.938041325,28.99171948
2001.5,2.683843905,1.57124,-1.519140107,1.694854322,27.47523351
2001.75,1.127546064,1.24508,-1.953546467,2.469986065,27.30981825
2002,1.105864038,1.29104,-1.811436526,0.3537812399,28.48374813
2002.25,1.024809776,1.38628,-1.851007007,0.03563732955,27.52260398
2002.5,1.387134527,1.92616,-2.081713335,-0.1261102472,27.19734447
2002.75,1.237186016,2.29636,-2.564721809,-0.6041622274,28.15175473
2003,1.077084552,1.99416,-2.66607767,-0.9146395213,29.30000118
2003.25,1.130655677,1.37972,-2.404946463,-1.535910846,29.27387003
2003.5,0.8427067838,2.27384,-1.389227218,-2.171065844,29.39422596
2003.75,0.8159760161,2.46388,-0.8692681703,-1.486633718,30.02593054
2004,0.8024851174,2.82812,-0.9280386844,-1.728870854,30.32984224
2004.25,1.087274786,3.21356,-0.7892979851,-1.356711879,30.49453736
2004.5,1.66378695,2.56832,-0.5011828027,-1.106099994,30.37691899
2004.75,2.322945338,3.0924,-0.1363713866,-1.11326429,30.6176839
2005,2.827004637,3.18528,0.3324896494,-0.5514562766,30.72670428
2005.25,3.179843294,2.91024,0.2008150707,-0.3416712478,30.80372759
2005.5,3.781990061,3.63796,0.379377318,-0.7357196521,31.31941298
2005.75,4.296286097,3.23644,0.3569402123,0.03702284955,30.77919949
2006,4.634919092,2.81764,1.130602179,0.2247638825,30.45210055
2006.25,5.079955921,3.54672,0.8147584866,0.3739141613,30.35922807
2006.5,5.194487947,2.79112,0.4292487489,0.6308782549,30.10086797
2006.75,5.149656452,1.49624,0.762090719,1.108873782,29.8806332
2007,5.150683377,3.83436,0.5480154397,0.6301786672,30.22957984
2007.25,5.108882354,2.67424,0.6786557079,0.5746460824,29.65956325
2007.5,4.649988368,2.07672,0.7711032487,0.2600226296,30.26437428
2007.75,3.892988355,1.69584,0.8763926382,0.06629943287,29.754636
2008,2.222750213,1.4058,-0.03177023759,-0.6015147821,30.16162084
2008.25,1.940957521,2.02872,0.06226899449,-3.122812708,32.2829207
2008.5,2.029898945,3.01712,-0.9140455019,-2.286314671,33.44006448
2008.75,1.302976211,0.94896,-3.486071828,-4.447773471,34.66675848
2009,0.7458422717,-0.19776,-4.979094406,-7.16463234,41.16042159
2009.25,0.2182670777,-0.6988,-5.479377457,-8.323095456,43.02503357
2009.5,-0.268722126,0.43016,-5.455786055,-7.829166298,46.59057121
2009.75,-0.4130013348,1.31852,-4.755715265,-7.651225343,47.67012424
2010,-0.489579211,1.08748,-4.590521875,-8.011304869,47.77408723
2010.25,-0.4971386773,1.95132,-3.987322966,-7.893436353,49.14386163
2010.5,-0.6946393205,1.20844,-3.581543154,-7.131608571,52.83042749
2010.75,-0.9453302207,2.34312,-3.429040795,-6.824429139,55.2061687
2011,-1.031332186,2.06512,-4.020298733,-6.381797048,57.14567146
2011.25,-1.109526341,2.64212,-3.742455073,-6.584455699,56.41814542
2011.5,-1.323952552,2.47376,-4.163170099,-5.985391701,55.02992601
2011.75,-1.462408169,0.4828,-3.483241686,-5.933008199,54.71609499
2012,-1.41918757,2.4272,-3.098823814,-5.036790496,58.18232959
2012.25,-1.203437296,1.61108,-3.072610555,-4.791224603,59.85005499
2012.5,-1.265969153,2.07396,-3.325044436,-4.688201996,60.94724976
2012.75,-1.397240762,2.02732,-3.645040485,-4.308973005,62.62492693
2013,-1.406898785,1.6002,-3.243102357,-2.653765549,63.4181194
2013.25,-1.254071863,1.13504,-3.545280881,-1.078094854,62.49124273
2013.5,-1.663674554,1.88508,-3.221571848,-2.043537404,64.12687383
2013.75,-1.994760303,2.39044,-2.978336665,-0.9170487046,60.42906338
2014,-2.514265059,1.66608,-3.762823871,-1.067772979,60.39182369
2014.25,-2.922003349,2.26536,-2.977166383,-1.150491994,60.19616687
2014.5,-2.844799311,1.74644,-2.306752966,-1.361403988,59.5927217
2014.75,-2.663600573,0.66552,-2.329227621,-1.29349101,59.17074724
2015,-2.016949291,-0.14212,-1.996928446,-1.154816193,59.94665185
2015.25,-1.476872756,2.16688,-1.889443822,-0.2882700046,61.60072052
2015.5,-0.9836385093,1.19224,-2.027380247,-1.082063871,60.37032475
2015.75,-0.09335359405,-0.03808,-2.329516612,-0.8841441279,59.97828148
2016,0.4781204478,-0.32008,-2.194154532,-1.400253543,59.42424752
2016.25,0.4366637133,2.82568,-2.33092847,-1.194764539,62.80492709
2016.5,0.4768185676,1.10948,-2.170039754,-1.487883732,63.58662979
2016.75,0.458045564,2.10708,-2.106614267,-1.540596628,64.68869816
2017,0.468747981,2.06972,-2.10915828,-1.48214631,64.53961166
2017.25,0.9771845194,1.2444,-2.03636394,-1.563371375,63.03255439
2017.5,1.096835132,2.008,-1.657360043,-1.720682461,62.30735313
2017.75,1.28286962,2.75416,-1.111337256,3.353669837,61.83388634
2018,1.530608361,2.45552,-0.8785524229,-2.306083942,62.63955099
2018.25,1.788102855,3.43212,-0.6508428356,-2.284392742,61.49610132
2018.5,2.031601218,1.34592,-0.4066398991,-2.057891965,62.74785907
2018.75,2.411133283,1.81868,-0.6977434168,-2.311629689,63.61118697
2019,2.450959245,1.54772,-0.6296759787,-2.454914011,64.14256252
2019.25,2.336306124,2.23016,-0.4342713314,-2.460714009,66.40496903
2019.5,2.050284438,1.305,-0.02345045895,-2.7151624,66.74536673
2019.75,1.634296973,1.4678,-0.05153590119,-2.905207404,67.53169912
2020,1.24459009,1.61116,-1.679857519,-3.248056793,71.07068543
2020.25,0.4603369946,-1.49888,-10.41743765,-26.68028721,72.45023094
2020.5,0.1973446198,3.46216,-3.765909602,-14.64980088,83.57205391
2020.75,-0.1141029058,2.53048,-3.246589566,-8.092292634,83.47251806
2021,-0.8189459168,4.98028,-2.180082048,-17.61142662,81.95795833
2021.25,-1.874913619,6.20736,-0.9564794793,-12.82017614,80.91758384
2021.5,-1.831992441,6.0718,-0.7578437377,-7.871299555,77.60622584
2021.75,-1.568904916,6.66932,0.4614324688,-4.436029691,76.9413642