TSLA,SPY
-7.254830,-1.789788
4.695367,1.493699
1.129995,2.182415
7.211363,-0.256187
-0.698649,-1.534743
1.779600,1.822911
-4.724057,-0.499093
-0.119223,-0.815772
-4.104369,-2.992262
2.433542,-0.761048
4.107819,2.645778
-2.435802,-0.452582
-5.259370,-1.279659
-3.711720,-0.733516
4.530634,2.175206
4.670422,2.193197
3.665493,1.243325
3.803520,1.089329
1.726801,-0.029250
7.608328,1.163348
0.514786,-1.296199
1.471434,1.496184
-0.324018,0.487174
7.728051,0.708785
0.705491,1.229489
-0.508767,-0.619390
-1.509517,-1.551099
0.646565,0.283006
5.459558,0.853009
-4.846464,-1.271174
-4.258907,-1.004972
1.093679,0.502629
-3.051018,-0.267748
-4.953493,-1.724001
1.122853,-0.371214
3.525938,1.138842
-3.723709,-1.252991
1.939444,0.041106
2.348026,1.601371
-5.082502,-0.074172
3.180564,-1.506652
-0.370443,-2.782268
-0.701922,0.578089
-12.992786,-2.938845
0.579088,0.280790
-0.454803,2.494561
-0.772196,-3.765580
3.628977,0.600139
0.696398,0.457354
4.659599,2.999845
-8.695991,-3.618976
-0.877557,-0.598686
-9.511264,-3.254105
1.629371,0.230795
-8.615265,-1.601378
-0.820798,-0.104443
5.555683,2.362655
-6.055560,-0.406585
5.013229,2.036175
-7.043727,-4.114666
-0.054961,-0.614346
-6.631616,0.043644
1.643295,1.853722
-7.176956,-0.766310
4.762508,0.879617
7.164266,1.978439
7.076882,2.425253
-0.180519,-0.562667
-2.387627,-0.812139
4.571304,1.886442
-9.672414,-1.654770
1.591981,0.304012
0.254282,0.954648
1.239735,-1.093166
-0.897067,-2.407030
-3.168770,-2.942434
-7.366973,-3.870770
2.360632,-0.301789
5.337362,1.415570
-8.927689,-3.365610
1.702916,0.215345
8.942411,2.486195
-0.401586,-0.181467
-0.431561,0.975487
4.425503,3.129894
-0.320679,-0.382702
-5.133915,-2.064456
-1.810001,-0.081463
-1.773557,-0.815758
1.235252,1.052098
2.521512,0.188679
-0.573723,0.337168
5.380523,1.486607
2.511708,-0.082289
-6.772231,-1.148937
-0.544843,-0.888831
1.689001,-0.526548
0.535748,-0.243149
0.733030,1.892494
0.199743,-0.829126
2.050505,2.666060
0.799145,0.635294
9.331246,1.013166
0.197328,-0.932140
-1.409379,0.121428
-3.631522,-1.190159
5.982905,2.563502
2.188235,1.246428
5.623833,1.447353
0.042622,-0.296567
1.107287,-0.661909
2.240286,1.553806
0.401495,-0.067577
-6.860331,-0.169161
0.778902,-0.116160
-2.471555,-0.397887
3.816806,2.078636
-2.659996,0.000000
4.569026,1.678730
3.049390,0.411233
-0.895202,0.195682
-0.840758,-0.712332
-0.371311,0.290214
-2.069452,-1.352911
-2.302712,-2.104238
2.230782,-0.242205
0.216777,0.319606
-0.346167,1.401880
-2.732302,-3.443525
-1.141549,-0.663409
-2.531599,-1.103862
-0.755467,-0.763816
0.560820,0.313297
-2.539557,-1.060049
1.546043,-0.378022
3.325756,1.780552
1.940859,0.651498
3.538924,1.541578
1.569315,1.069036
-4.120944,-4.445619
3.524587,0.380855
0.376020,-1.141815
-0.131772,-0.765817
1.868054,0.772500
-0.110067,-1.154494
-2.602159,-1.759776
-4.143857,-0.843530
-4.703665,-1.689678
0.246680,-0.994197
2.479773,-0.255595
1.706567,1.948527
-7.053031,-2.111026
-1.109744,-1.558437
-9.008355,2.605878
2.862918,3.051622
-3.521018,-0.233094
-1.119147,-1.036935
-6.533111,-2.829034
-0.049324,-0.766461
-2.940187,-0.635307
0.341221,-0.330398
2.041257,2.604889
-7.845411,-2.305244
6.770743,2.537238
0.382216,1.168110
0.836670,-0.711170
-6.878698,-0.842067
3.395946,2.401090
-1.498772,1.216221
5.152521,1.584236
0.993164,-0.756257
0.200119,-0.535433
1.512345,2.351208
-0.429774,-0.724948
0.122986,-0.438548
-5.801089,-2.541644
0.153386,-1.035026
-3.709209,1.429052
-5.137701,0.952014
-2.976686,0.538092
-7.436539,-2.081725
7.132889,5.349727
2.715520,0.963198
-2.594999,-0.854310
1.800916,0.849286
-3.934005,-0.765802
-2.026603,-0.306457
-1.640281,0.453014
-7.082202,-0.364270
1.207907,1.336729
7.530953,0.628181
-0.185760,-0.022370
0.032805,-1.608574
-1.149151,-0.171901
7.390252,3.101462
0.000000,-0.073611
0.082146,-0.115434
-6.580521,-1.815306
-1.451976,-1.451968
-3.267127,-0.170267
-0.345339,0.780343
3.183338,-0.749827
-6.477310,1.431432
-4.179828,0.754136
-2.612261,-0.641405
0.553310,-2.476585
-4.833680,-1.187641
-0.239921,-0.851582
-8.396484,0.136747
-0.167045,1.484176
-9.302312,-1.436888
-1.770667,0.573579
-12.113827,-0.395131
3.255326,-1.250574
7.772641,1.784023
1.110215,-0.263755
-13.058999,-0.421877
4.997884,0.769054
-2.946908,-1.147903
2.435216,2.267312
5.765458,-0.056706
-0.771103,0.698837
3.610921,1.256855
0.275547,0.363417
-0.943247,0.387200
7.163645,-0.183358
-2.082533,-1.591397
-1.258076,-0.730644
4.797727,1.845764
7.457365,1.192717
0.097343,-0.107387
0.374580,0.037473
10.406501,1.093041
10.436164,0.229506
-6.526573,-1.262620
3.860664,1.459630
4.619722,1.057169
3.711744,1.445205
0.904166,-1.068598
2.484922,-0.613011
1.047078,1.299384
2.250783,-1.099500
2.951691,-0.870697
-5.161834,0.233095
-1.149350,1.167062
7.237802,-0.046028
2.356720,0.324211
-5.863124,-1.386448
3.056168,-0.250138