Date,R,P,Y
1954.5,1.03,0.52248,-1.4367734890963
1954.75,0.99,1.09852,-0.1401584000662
1955,1.35,1.86236,2.0886916329143
1955.25,1.50,1.66292,3.0789210700666
1955.5,1.94,2.79624,3.8131698415693
1955.75,2.36,3.96308,3.7590417892005
1956,2.48,4.00428,2.6766815094151
1956.25,2.69,2.37876,2.8561494358746
1956.5,2.81,5.01840,2.0734401433817
1956.75,2.93,1.60884,3.0203104756888
1957,2.93,5.47908,2.8956068153874
1957.25,3.00,2.80452,1.8493678197973
1957.5,3.23,2.37988,1.9944589771672
1957.75,3.25,0.27684,0.0686896487231
1958,1.87,4.32596,-3.3684563377334
1958.25,0.94,1.16944,-3.5947240197596
1958.5,1.32,2.43132,-2.2471685848268
1958.75,2.16,1.89876,-0.8940579747855
1959,2.58,0.93264,0.0631148938888
1959.25,3.08,0.61216,1.3386252054974
1959.5,3.57,1.54024,0.3932404584568
1959.75,3.99,1.58304,-0.3268886801070
1960,3.93,1.60108,0.8786369725865
1960.25,3.70,1.01480,-0.6656393035137
1960.5,2.94,1.37376,-1.1709866664189
1960.75,2.30,1.17688,-3.3904161738472
1961,1.99,0.86212,-3.6917917092155
1961.25,1.73,0.93196,-2.9852165278714
1961.5,1.68,1.02516,-2.0897731587338
1961.75,2.40,1.26032,-1.1463784755547
1962,2.46,2.06236,-0.3890536056492
1962.25,2.61,0.66032,-0.5093225059213
1962.5,2.85,0.82408,-0.3246109625221
1962.75,2.92,0.82236,-1.0361416036579
1963,2.97,1.75860,-0.9970862461283
1963.25,2.96,0.70036,-0.9402783447254
1963.5,3.33,0.53600,0.1642915423385
1963.75,3.45,3.23500,-0.2585862381342
1964,3.46,1.26976,0.7625249295333
1964.25,3.49,0.92056,0.7654586846319
1964.5,3.46,1.58428,1.2384632145097
1964.75,3.58,1.82960,0.4683694926260
1965,3.98,2.00340,1.7793215531358
1965.25,4.08,1.83488,1.9725977594900
1965.5,4.08,1.55588,3.1041542079314
1965.75,4.17,2.74036,4.3292200988885
1966,4.56,2.58784,5.6965699852055
1966.25,4.91,3.25832,4.8898634822595
1966.5,5.41,3.86964,4.6085455439628
1966.75,5.56,3.35348,4.3169919636550
1967,4.82,1.66280,4.0875010094335
1967.25,3.99,2.04300,3.0153957889196
1967.5,3.89,3.82992,2.8586958803583
1967.75,4.17,4.45056,2.4931404273771
1968,4.79,4.42256,3.4308952805120
1968.25,5.98,4.22908,4.0105200139430
1968.5,5.95,3.91816,3.6561035434498
1968.75,5.92,5.64752,2.9060517052490
1969,6.57,4.12660,3.4022468633291
1969.25,8.33,5.09568,2.6613773602010
1969.5,8.98,5.61892,2.3468041127328
1969.75,8.94,5.15492,0.9184228559525
1970,8.56,5.62308,-0.1084212712217
1970.25,7.88,5.58272,-0.7935408033247
1970.5,6.71,3.28128,-0.6734349461853
1970.75,5.57,5.29556,-2.4913922342857
1971,3.86,6.06116,-0.6061156313085
1971.25,4.57,5.25564,-0.8391273014176
1971.5,5.48,4.07588,-0.7996170787709
1971.75,4.75,3.33608,-1.3436480136661
1972,3.55,6.08004,-0.3238935573634
1972.25,4.30,2.49116,1.1272911168378
1972.5,4.74,3.83228,1.2633560317264
1972.75,5.15,5.08924,2.1259896819677
1973,6.54,4.61068,3.7941282914157
1973.25,7.82,6.14856,4.0289865432620
1973.5,10.56,7.79944,2.5960873402325
1973.75,10.00,7.96704,2.6710528521639
1974,9.33,7.54748,0.9012425426599
1974.25,11.25,9.45012,0.2620785825892
1974.5,12.10,11.71872,-1.5310894974576
1974.75,9.34,11.76132,-2.7290016074580
1975,6.31,9.09252,-4.6841458188881
1975.25,5.42,5.94984,-4.7506158896666
1975.5,6.16,7.06768,-3.8624942217701
1975.75,5.41,6.69216,-3.3095906473295
1976,4.83,4.22664,-1.8802035015053
1976.25,5.20,4.02708,-1.9134631366735
1976.5,5.28,5.16632,-2.1433008099195
1976.75,4.87,7.17608,-2.2075777559316
1977,4.66,6.44040,-1.8484384896797
1977.25,5.16,5.64088,-0.7577337477550
1977.5,5.82,4.86260,0.2018793871038
1977.75,6.51,8.64280,-0.6356173012896
1978,6.76,5.82280,-1.1684970078027
1978.25,7.28,7.64852,1.7655719538808
1978.5,8.09,6.78272,1.8866633187927
1978.75,9.58,8.19000,2.3410520041624
1979,10.07,7.28616,1.5993542249255
1979.25,10.18,9.80456,0.8278713557837
1979.5,10.94,8.73600,0.6887787390898
1979.75,13.58,7.42704,0.1930338817145
1980,15.07,8.40344,-0.1743528781503
1980.25,12.67,9.51564,-2.8278131438863
1980.5,9.82,8.94000,-3.4692943264407
1980.75,15.85,10.42224,-2.2284398077550
1981,16.60,10.53208,-0.9346882660364
1981.25,17.79,7.93004,-2.3228575936066
1981.5,17.59,7.52280,-1.8423422008820
1981.75,13.59,6.91280,-3.6187947049280
1982,14.21,5.50704,-5.8259823652799
1982.25,14.51,5.19964,-6.1159389955109
1982.5,11.01,5.67412,-7.1949342987413
1982.75,9.28,4.13948,-7.8809638590912
1983,8.66,3.01680,-7.3877771047461
1983.25,8.80,2.97832,-6.0235128244415
1983.5,9.46,4.24920,-4.9128071024211
1983.75,9.43,3.03444,-3.7322879700659
1984,9.69,4.04900,-2.7657407150722
1984.25,10.55,3.41828,-1.9477176059705
1984.5,11.39,3.55652,-1.8768839913704
1984.75,9.26,2.99036,-1.9509982981098
1985,8.48,3.95508,-1.8764865649243
1985.25,7.92,2.57636,-1.8826746632173
1985.5,7.90,2.41276,-1.2505646446483
1985.75,8.10,2.23740,-1.3687505465141
1986,7.83,1.99228,-1.2862715986553
1986.25,6.92,1.51212,-1.6656700294225
1986.5,6.21,1.64340,-1.5406254733046
1986.75,6.27,2.17504,-1.8180911651805
1987,6.22,2.54168,-1.8809687324805
1987.25,6.65,2.77392,-1.6093131214606
1987.5,6.84,3.02256,-1.5339189835828
1987.75,6.92,3.18868,-0.6253888493933
1988,6.67,3.13572,-0.8818236367060
1988.25,7.15,3.89604,-0.3503260835071
1988.5,7.98,4.77880,-0.5279490073583
1988.75,8.47,3.45588,0.0381311999034
1989,9.45,4.17432,0.3032049409239
1989.25,9.73,4.25680,0.3266984143093
1989.5,9.08,2.92352,0.3380802522124
1989.75,8.61,2.85036,-0.1840941581559
1990,8.25,4.31300,0.1982717192065
1990.25,8.24,4.47748,-0.1323523413352
1990.5,8.16,3.43132,-0.7367358705857
1990.75,7.74,2.97688,-2.2836581856381
1991,6.43,3.91708,-3.3637564604235
1991.25,5.86,2.93852,-3.2216854598170
1991.5,5.65,3.12456,-3.3359040262785
1991.75,4.82,2.37372,-3.6003822771510
1992,4.02,1.48684,-3.0537004917838
1992.25,3.77,2.40496,-2.6186544201490
1992.5,3.26,1.95536,-2.2875482708898
1992.75,3.03,2.75268,-1.9084467514413
1993,3.04,2.24484,-2.3875759279975
1993.25,3.00,2.37880,-2.4730824081523
1993.5,3.06,2.37636,-2.6655322986053
1993.75,2.99,2.18284,-2.0075264919010
1994,3.21,1.91188,-1.7252471775925
1994.25,3.94,1.93144,-1.0663306004533
1994.5,4.49,2.29288,-1.1648981546466
1994.75,5.17,2.17208,-0.7134910802100
1995,5.80,2.17160,-1.0374426738315
1995.25,6.02,1.91864,-1.4179449867590
1995.5,5.80,1.97092,-1.2537641415948
1995.75,5.72,1.92792,-1.2676217676523
1996,5.37,1.92420,-1.2188407570140
1996.25,5.24,1.65636,-0.3059748297909
1996.5,5.31,1.30976,-0.1935082232805
1996.75,5.28,2.13572,0.0150407045090
1997,5.28,2.38520,-0.2072543814036
1997.25,5.52,0.81016,0.5414067786372
1997.5,5.53,1.73560,0.8489098552436
1997.75,5.51,1.31488,0.7407457515280
1998,5.52,0.58840,0.7539574534029
1998.25,5.50,0.94008,0.6715846449548
1998.5,5.53,1.72124,0.9070801424684
1998.75,4.86,1.09836,1.4982586027057
1999,4.73,1.28056,1.4075748059635
1999.25,4.75,1.51380,1.2059811822373
1999.5,5.10,1.42404,1.4909391493404
1999.75,5.30,2.20964,2.0907329598726
2000,5.68,2.65572,1.4036643483070
2000.25,6.27,2.49336,2.2133278532749
2000.5,6.52,2.34428,1.3362201860894
2000.75,6.47,2.17216,1.0138149459703
2001,5.60,2.62300,-0.1765141900067
2001.25,4.33,2.41908,-0.3670734310908
2001.5,3.50,1.57124,-1.5191401066527
2001.75,2.13,1.24508,-1.9535464670848
2002,1.73,1.29104,-1.8114365258152
2002.25,1.75,1.38628,-1.8510070072902
2002.5,1.74,1.92616,-2.0817133349300
2002.75,1.44,2.29636,-2.5647218086625
2003,1.25,1.99416,-2.6660776698825
2003.25,1.25,1.37972,-2.4049464628414
2003.5,1.02,2.27384,-1.3892272175174
2003.75,1.00,2.46388,-0.8692681703331
2004,1.00,2.82812,-0.9280386844140
2004.25,1.01,3.21356,-0.7892979851306
2004.5,1.43,2.56832,-0.5011828026972
2004.75,1.95,3.09240,-0.1363713865571
2005,2.47,3.18528,0.3324896494158
2005.25,2.94,2.91024,0.2008150706837
2005.5,3.46,3.63796,0.3793773180081
2005.75,3.98,3.23644,0.3569402122699
2006,4.45,2.81764,1.1306021794279
2006.25,4.91,3.54672,0.8147584865889
2006.5,5.25,2.79112,0.4292487489207
2006.75,5.24,1.49624,0.7620907190472
2007,5.25,3.83436,0.5480154397355
2007.25,5.25,2.67424,0.6786557078617
2007.5,5.07,2.07672,0.7711032487138
2007.75,4.50,1.69584,0.8763926381758
2008,3.18,1.40580,-0.0317702375943
2008.25,2.08,2.02872,0.0622689944924
2008.5,1.94,3.01712,-0.9140455019105
2008.75,0.51,0.94896,-3.4860718276632
2009,0.18,-0.19776,-4.9790944063897
2009.25,0.18,-0.69880,-5.4793774568081
2009.5,0.15,0.43016,-5.4557860554528
2009.75,0.12,1.31852,-4.7557152648726
2010,0.13,1.08748,-4.5905218747647
2010.25,0.19,1.95132,-3.9873229657479
2010.5,0.19,1.20844,-3.5815431538272
2010.75,0.19,2.34312,-3.4290407945992
2011,0.15,2.06512,-4.0202987326086
2011.25,0.09,2.64212,-3.7424550728945
2011.5,0.08,2.47376,-4.1631700994392
2011.75,0.07,0.48280,-3.4832416858154
2012,0.10,2.42720,-3.0988238138729
2012.25,0.15,1.61108,-3.0726105554013
2012.5,0.14,2.07396,-3.3250444364821
2012.75,0.16,2.02732,-3.6450404845200
2013,0.14,1.60020,-3.2431023572144
2013.25,0.12,1.13504,-3.5452808806774
2013.5,0.09,1.88508,-3.2215718476605
2013.75,0.09,2.39044,-2.9783366651462
2014,0.07,1.66608,-3.7628238708264
2014.25,0.09,2.26536,-2.9771663833844
2014.5,0.09,1.74644,-2.3067529660184
2014.75,0.10,0.66552,-2.3292276209052
2015,0.11,-0.14212,-1.9969284462899
2015.25,0.13,2.16688,-1.8894438222138
2015.5,0.13,1.19224,-2.0273802474028
2015.75,0.16,-0.03808,-2.3295166118957
2016,0.36,-0.32008,-2.1941545318582
2016.25,0.37,2.82568,-2.3309284699294
2016.5,0.39,1.10948,-2.1700397537368
2016.75,0.45,2.10708,-2.1066142674956
2017,0.70,2.06972,-2.1091582795347
2017.25,0.95,1.24440,-2.0363639403408
2017.5,1.15,2.00800,-1.6573600434653
2017.75,1.20,2.75416,-1.1113372557533
2018,1.45,2.45552,-0.8785524228508
2018.25,1.74,3.43212,-0.6508428355885
2018.5,1.93,1.34592,-0.4066398990506
2018.75,2.22,1.81868,-0.6977434168338
2019,2.40,1.54772,-0.6296759787171
2019.25,2.40,2.23016,-0.4342713313597
2019.5,2.19,1.30500,-0.0234504589474
2019.75,1.65,1.46780,-0.0515359011873
2020,1.25,1.61116,-1.6798575188629
2020.25,0.06,-1.49888,-10.4174376471986
2020.5,0.09,3.46216,-3.7659096021930
2020.75,0.09,2.53048,-3.2465895658016
2021,0.08,4.98028,-2.1800820484523
2021.25,0.07,6.20736,-0.9564794792882
2021.5,0.09,6.07180,-0.7578437376720
2021.75,0.08,6.66932,0.4614324688452
2022,0.12,8.10464,-0.4066991744750
2022.25,0.77,8.80376,-1.0243627488536
2022.5,2.18,4.29292,-0.7093644203320
2022.75,3.65,3.87312,-0.5320152723736